request_id,circuit_id,timestamp,status,guard_fingerprint,guard_nickname,guard_address,guard_country,middle_fingerprint,middle_nickname,middle_address,middle_country,exit_fingerprint,exit_nickname,exit_address,exit_country,build_time,purpose,guard_bandwidth,middle_bandwidth,exit_bandwidth,circuit_setup_duration,total_bytes
1,1000,2025-11-19T23:07:54.611973,BUILT,0125CF584F8C40C576BD5D53A3B6EBB91F393C9D,GuardNode552,127.0.237.207,NL,30B00D360B6DC39162AC453E3A44005BB9256E5A,MiddleNode42,127.0.80.230,FR,3400C2A34A3BF3C8EDE6D83C310BBD59F907A6BB,ExitNode845,127.0.128.170,CA,2025-11-19T23:07:53.914973,GENERAL,9659665,6269168,7524134,2.0996322406451124,310280
2,1001,2025-11-19T23:07:55.972739,BUILT,EBB4FED9B7926128AEE00388B0C64FF944E4BB78,GuardNode87,127.0.38.144,FR,85CB7F65B4BDE0F94EABB82B8352AAC9EAFEC166,MiddleNode277,127.0.193.32,SE,1DD96C5BFC597BA4179AD53DAF6E2D2D40EF652A,ExitNode542,127.0.142.144,CH,2025-11-19T23:07:55.364739,GENERAL,2148334,5682739,1670362,1.0694686718064204,141906
3,1002,2025-11-19T23:07:57.004355,BUILT,F6E3B87610A0B8050884ADB4ABB0E3165C14F9E5,GuardNode548,127.0.92.133,US,B6C50AAA1D780195C80EA596D4F1BF36E5F8D054,MiddleNode2,127.0.75.29,NL,47A0C1214770DEB533A82F2334EDE6A095DC89C6,ExitNode251,127.0.21.170,GB,2025-11-19T23:07:56.065355,GENERAL,3572120,7992885,1988204,0.5134396538996617,619858
4,1003,2025-11-19T23:08:00.354661,BUILT,C92AB1CBDC91EC1FA6C67F1557CA64BA42A432DA,GuardNode557,127.0.26.97,US,2FB1EE82BAAEEFDB08C9BEB839EED9C4B625613C,MiddleNode410,127.0.161.213,CA,72E7195CBB5B118FC796CED8D294EA6AF143D336,ExitNode25,127.0.134.28,JP,2025-11-19T23:07:59.913661,GENERAL,9240624,6189659,1520143,0.9942795361904182,374871
5,1004,2025-11-19T23:07:58.401163,BUILT,AA64933E91290AE39657106607D1E25A295A7ADC,GuardNode142,127.0.46.100,CA,7CEDD592DCC80713A7B27B805AB4DAA4C42E7230,MiddleNode614,127.0.194.217,US,1D1D37BE685AC316B8FD7076CE7676A97A986838,ExitNode116,127.0.201.16,DE,2025-11-19T23:07:58.023163,GENERAL,2163275,9450400,9776272,1.5624030735187584,510696
6,1005,2025-11-19T23:08:00.622371,BUILT,58A51911B19B8F9678A438B5669377A3377D3BE5,GuardNode546,127.0.43.195,CA,D6F676C10E02077D0012553B0AA8197EE280D11E,MiddleNode641,127.0.38.125,FR,B35AD01D5F04781D95E74E78C7AB7689D060C667,ExitNode413,127.0.193.245,SE,2025-11-19T23:08:00.077371,GENERAL,3706450,9500119,1550055,1.5043954004453797,370099
7,1006,2025-11-19T23:08:00.742345,BUILT,BE19B7E109C6DB1F818117963A02250E4241E51F,GuardNode822,127.0.15.147,AT,9B16E880C344A3069C5EC4BF5E906BB7696EDCDB,MiddleNode41,127.0.198.229,FR,8EC6AEB537028D8AE4FABB25D0D5842074FEE653,ExitNode16,127.0.92.31,FR,2025-11-19T23:08:00.424345,GENERAL,2624224,6936782,9316075,0.6783832983944884,293082
8,1007,2025-11-19T23:07:59.185843,BUILT,58578B4004A8F786190236CDF6E98560238EDD89,GuardNode729,127.0.31.117,GB,6EEF44869FBBF33E54564EF3A1FC0C1571E9A488,MiddleNode306,127.0.179.224,FR,9E1D7D1304854CB17BF6CEA6FC1A871669669262,ExitNode533,127.0.73.195,FR,2025-11-19T23:07:58.286843,GENERAL,1445927,2218754,8635098,1.3770463540392437,461711
9,1008,2025-11-19T23:08:03.571839,BUILT,B1334F31873D8F4CB56B325DB80955FEE054CAF1,GuardNode672,127.0.194.118,NL,106891D6A1323F4D58EDE3F2FC01E6323A8E4076,MiddleNode630,127.0.217.218,NL,93A61FD4AE08A4C70CFE2658308364B26F3E376E,ExitNode206,127.0.130.118,JP,2025-11-19T23:08:02.757839,GENERAL,8720769,8153497,7644571,1.2660038792725894,535157
10,1009,2025-11-19T23:08:05.188888,BUILT,B0416757314BB628907C7BDBFA16CEC1CA362F33,GuardNode46,127.0.236.17,GB,2C42612BDE29605EB412B8DEAC07859F907057E6,MiddleNode746,127.0.66.93,CA,BC603C03AB36B4716CE1700B7CBDBE36EBF2711E,ExitNode361,127.0.64.11,AT,2025-11-19T23:08:04.680888,GENERAL,6556797,9384376,1836161,2.3471620413241867,830003
11,1010,2025-11-19T23:08:08.845975,BUILT,EC4397C6829D604DF435D861F5620BDF7FABDADE,GuardNode547,127.0.140.111,JP,F9FE00DC5F0752DEA9F09D93AD1C9F5C1B1944FF,MiddleNode132,127.0.184.24,CH,4A47D0F861DD6E87E2C7197E5904B338F02FC20E,ExitNode92,127.0.31.59,CA,2025-11-19T23:08:08.338975,GENERAL,4819532,5283694,4177989,0.5711825811005784,725111
12,1011,2025-11-19T23:08:06.214256,BUILT,A4DF6C9567C1778ECF4C0E7F5BDB95F2C3EBDAC1,GuardNode918,127.0.53.238,AT,F5BC540437B7B0E49BC9E2D47F290CEF25B52366,MiddleNode372,127.0.197.112,GB,2179A11389F73E5CA1D950FE842C4BA18126B465,ExitNode136,127.0.92.207,GB,2025-11-19T23:08:05.370256,GENERAL,4612727,4342812,4753233,0.9675937215053234,543880
