feature,importance
guard_avg_bandwidth,0.22842492
guard_bandwidth,0.22440085
guard_usage_freq,0.212883
guard_country_encoded,0.15872188
bw_min,0.046391632
bw_max,0.0354596
same_country_guard_exit,0.03436804
bw_guard_x_setup,0.0064063645
middle_bandwidth,0.0044343593
exit_bandwidth,0.0041782246
same_country_guard_middle,0.0040591564
bw_ratio_guard_middle,0.0035527095
circuit_setup_duration,0.0034124476
bw_std,0.0032192958
bw_ratio_middle_exit,0.003166004
country_diversity,0.002839009
middle_country_encoded,0.0027915984
exit_fingerprint_encoded,0.0027291325
bw_ratio_guard_exit,0.0027209572
middle_fingerprint_encoded,0.0026251993
middle_usage_freq,0.0025994428
total_bytes,0.0025669131
bw_total_x_bytes,0.0022270405
bw_total,0.0019764556
exit_country_encoded,0.0019254823
exit_usage_freq,0.0019202942
same_country_middle_exit,0.0
guard_middle_pair_freq,0.0
guard_exit_pair_freq,0.0
all_same_country,0.0
guard_prefers_exit_country,0.0
